Beatmap,SR
4485054 | Deep Down (Sped Up Ver.) [You & I (1.35x)],10.2254
4421697 | H.A.R.D.C.O.R.E. [Hell [1.45x Rate]],9.9359
3442425 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.4x],9.9126
4496827 | Deep Down (Sped Up Ver.) [You & I (1.3x)],9.8686
2793592 | far in the blue sky... [42 [1.2]],9.8199
3095005 | Break [Smash 1.4x],9.7501
4421698 | H.A.R.D.C.O.R.E. [Hell [1.4x Rate]],9.5666
3816042 | Bookmaker [Extra 1.2x],9.5480
3526591 | Triumphal Return [dou-jack  1.4],9.4993
3261950 | arpia97's Vibro Anthology [Electric Butterfly (ATTang)],9.4942
3261940 | arpia97's Vibro Anthology [adrenaline!!!],9.4787
4485053 | Deep Down (Sped Up Ver.) [You & I (1.25x)],9.4659
1540681 | arpia97's Vibro Anthology [Bonobono (Hyeon)],9.4561
2793591 | far in the blue sky... [42 [1.15]],9.4524
1545540 | arpia97's Vibro Anthology [Back To The Gate],9.4024
2295006 | Daichi ni Saku Senritsu [Impossible 1.4x],9.3625
3986997 | Hustler (feat. Highdiwaan) [1.3x],9.3607
3442424 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.3x],9.3066
4108899 | G e n g a o z o -Noize of Nocent- [Innocence 1.05x],9.2655
3261951 | arpia97's Vibro Anthology [Embrace Blade (Remix)],9.2654
3918922 | Deep Down (Sped Up Ver.) [You & I (1.2x)],9.2277
3261953 | arpia97's Vibro Anthology [Grayed Out -Antifront-],9.2187
3090571 | Crescent Moon Island [Kuro 1.2x (206bpm)],9.2004
3261960 | arpia97's Vibro Anthology [Paradisus-Paradoxum],9.1862
3402549 | KAERU [Frog Regrets 1.4x (321bpm)],9.1748
2650379 | H.A.R.D.C.O.R.E. [Hell [1.35x Rate]],9.1714
2690151 | Lemon Tree (Lemon Dance) [Challenge 1.2x],9.1608
2357905 | Triumphal Return [dou-jack  1.35],9.1315
3065265 | Break [Smash 1.3x],9.1060
4388483 | hurricanic -short size- [Challenge 1.2x],9.1030
4072973 | Dat Phonk [GET DOWN [1.15]],9.0951
3820260 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.4x],9.0761
3261941 | arpia97's Vibro Anthology [Aim Burst (frolica)],9.0572
1545542 | arpia97's Vibro Anthology [^^7],9.0195
