Beatmap,SR,Objects,Variety,Spikiness
4485054 | Deep Down (Sped Up Ver.) [You & I (1.35x)],9.9273,2072,2.7362,1.0398
4421697 | H.A.R.D.C.O.R.E. [Hell [1.45x Rate]],9.6805,9093,2.1830,0.9500
3442425 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.4x],9.6629,3434,2.4756,1.0332
4496827 | Deep Down (Sped Up Ver.) [You & I (1.3x)],9.6446,2072,2.7405,1.0370
2793592 | far in the blue sky... [42 [1.2]],9.6355,3167,2.7355,1.0548
3095005 | Break [Smash 1.4x],9.5449,1973,2.4506,1.0195
4421698 | H.A.R.D.C.O.R.E. [Hell [1.4x Rate]],9.3756,9093,2.3265,0.9505
3816042 | Bookmaker [Extra 1.2x],9.3721,5463,2.6884,1.0031
3261940 | arpia97's Vibro Anthology [adrenaline!!!],9.3256,1799,3.0180,1.2125
2793591 | far in the blue sky... [42 [1.15]],9.3229,3167,2.7606,1.0535
3526591 | Triumphal Return [dou-jack  1.4],9.3184,2639,2.4942,0.9495
4485053 | Deep Down (Sped Up Ver.) [You & I (1.25x)],9.3085,2072,2.7646,1.0370
2295006 | Daichi ni Saku Senritsu [Impossible 1.4x],9.2489,4808,2.4433,1.0231
1545540 | arpia97's Vibro Anthology [Back To The Gate],9.2359,1790,2.7499,1.1452
3986997 | Hustler (feat. Highdiwaan) [1.3x],9.2184,3014,2.8102,1.0522
3090571 | Crescent Moon Island [Kuro 1.2x (206bpm)],9.1610,2711,2.9556,0.9442
3442424 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.3x],9.1546,3434,2.5107,1.0355
3261951 | arpia97's Vibro Anthology [Embrace Blade (Remix)],9.1509,1219,3.4256,1.1776
3402549 | KAERU [Frog Regrets 1.4x (321bpm)],9.1341,4083,2.3878,0.9464
4108899 | G e n g a o z o -Noize of Nocent- [Innocence 1.05x],9.1231,13426,2.0072,0.9428
3918922 | Deep Down (Sped Up Ver.) [You & I (1.2x)],9.1110,2072,2.7866,1.0362
3261953 | arpia97's Vibro Anthology [Grayed Out -Antifront-],9.0796,2320,2.7752,1.1358
