Beatmap,SR,Objects,Variety,Spikiness,Switch
3444572 | Rude Buster (Camellia Remix) [We are Forever Friends],10.9502,11450,2.7360,1.0310,0.9535
4282582 | Onus Regulus [Fated Battle | Blocko's 7K Ultimate],10.6249,6618,2.8199,1.0021,0.9636
3855004 | BEYOND [Ascension],10.6088,4711,2.6230,0.9784,0.9870
4763049 | Fractured Heaven [Wings of Apocalypse],10.5086,5830,2.8146,1.0298,0.9404
4105372 | Triumphal Return [Blocko's 7K Victory],10.5036,5030,2.4529,0.9864,0.9353
2562051 | dressurf's 7k practice charts [Aquellex - Decipher.#300],10.4863,9394,2.7202,0.9813,1.0009
4453240 | Quark no Umi o Oyoide [Glit],10.4622,4238,2.7088,1.0227,0.9618
2477485 | PEACE BREAKER [Fallout. 1.4],10.3228,8114,2.8665,1.0204,1.0725
4404683 | Everlasting Eternity [Endless Solo of Solitude],10.3087,10923,3.3294,1.0283,1.0061
1387003 | Hold Angel [God],10.2822,3115,2.8224,1.0464,0.9096
"4201708 | Bismuth [20,000,000,000,000,000,000 years]",10.2147,6900,3.4041,1.0086,1.0033
4297374 | Eviternity [Transcend Light],10.2126,5113,3.0292,1.0185,0.9895
"4807364 | Mare Nectaris (Camellia's ""Ingenii"" Remix) [Blocko's 7K Otherworldly Judgment]",10.2047,8391,2.9524,1.0035,1.0158
4197677 | Triumphal Return [Blocko's 7K Breakthrough],10.1715,4620,2.6270,0.9795,0.9573
2672365 | Kim_GodSSI's LN Practice Pack 1 [UPLIFT SPICE - Omega Rhythm (Sped Up Ver.)],10.1384,3397,3.0698,0.9644,1.0499
4283916 | Onus Regulus [Unyielding Courage | Blocko's 7K Ultra],10.0841,5933,2.9338,0.9950,0.9789
4032124 | Fallen Symphony [Abysstoucher],10.0821,12950,3.1390,0.9689,1.0075
4089435 | Triumphal Return [7K Final Attempt],9.9834,4298,2.6958,0.9842,0.9789
3855007 | BEYOND [Flight],9.9833,4225,2.7569,0.9790,1.0086
3876367 | KLASSIKER EINHEIT [BMS LV.27 (1.3x) [Yasashiku]],9.9748,6876,2.4451,0.9998,0.9928
2769922 | Frontier Explorer [Voyager [1.2x Rate]],9.9741,4482,2.3822,0.9758,0.9550
4763044 | Fractured Heaven [God],9.9740,5429,2.9054,1.0319,0.9577
2194084 | Regular Dan Phase III [Zenith Dan],9.9197,14578,3.1428,0.9829,0.9958
1174605 | Blue Zenith [JINDIMENSIONS],9.9136,7270,2.9641,0.9767,1.0624
2180866 | We Want To Run [Ascend],9.9036,5087,2.7476,0.9638,0.9617
2764028 | LN Dan Phase III [Zenith Dan],9.8924,12350,3.4176,0.9829,1.0471
3692003 | Triumphal Return [True Ending],9.8783,4952,2.6106,0.9828,0.9811
3559824 | STRONG 280 [DRUNKENNESS],9.8778,8091,2.8217,1.0256,0.9752
4487439 | Chong Xiao - The Multitude of Empyrean - [Majestic Firmament],9.8696,16280,3.4644,1.0476,1.0111
363288 | Unlimited Spark! (remake) [Collab Phantasm],9.8677,6994,3.4180,1.2512,0.9743
3124653 | Lost Umbrella (7_7 bootleg) [Rain 1.4x],9.8631,4144,2.6077,0.9764,1.0069
2967970 | finorza [Ypsili Parusia],9.8454,8200,2.9738,1.0175,0.9861
3444573 | Rude Buster (Camellia Remix) [You are Best Friends],9.8451,9350,3.0081,1.0160,0.9777
4097226 | Central Nucleus [Primordial Nucleosynthesis],9.8411,9250,3.4112,1.1192,1.0171
2477484 | PEACE BREAKER [Fallout. 1.3],9.8248,8114,2.9252,1.0222,1.0729
2582731 | Cyber Inductance [AAA 229bpm],9.7982,8816,2.3305,0.9649,0.9587
1246788 | ANOMALY [Entozer&Cuppp],9.7980,7218,3.1303,1.0654,0.9882
4021625 | BLUE ARMY (Raytoly's Progressive Hardcore Sped Up Edit) [Archon],9.7847,5324,2.7285,0.9981,1.0006
462737 | the lost dedicated [life [Lv.25]],9.7819,3191,2.2336,1.0099,0.8454
3413774 | saihate [Leeju's 7K Eternal Slumber 1.4x],9.7758,3381,3.0203,0.9974,1.0356
4009375 | Kyuukou [Overflow],9.7714,9984,3.1579,1.0206,0.9968
4797716 | FAKE PROMISE [TRUTHFUL LIE 1.2x (229)],9.7485,11950,2.3808,0.9823,0.9614
4453239 | Quark no Umi o Oyoide [Glit 0.9x],9.7404,4238,2.7865,1.0156,0.9610
1350621 | Hold Angel [Seraph],9.7401,2773,3.0182,1.0264,0.9449
3469849 | Duplicity Shade [Metamorphosis],9.7306,10828,3.3846,1.0841,0.9970
3362667 | crazy_tek (DJ Noriken Remix) [UHD 2021 ver.],9.7217,4195,2.9569,1.0157,1.0036
4562221 | DiSANiMATE [DELUSiON],9.7144,10000,2.9072,1.0346,0.9575
1024723 | Air Raid [Nuclear],9.6605,6743,2.8850,1.0068,1.0219
3924687 | Artificial Human [SCP],9.6571,6300,3.4078,1.0187,1.0579
2007769 | Koakuma x3 no Daidasso!? [Noodle Devil],9.6114,3161,3.3370,1.0207,0.9708
4065224 | Eviternity [Everlasting],9.5920,4241,3.2272,1.0040,1.0046
3886726 | King Atlantis [Abyssal Overlord],9.5563,8200,3.3665,1.0415,1.0027
3393666 | ReviXy [ETJun 1.3x],9.5550,4097,2.7774,0.9783,0.9778
"2247220 | Tiny Little Adiantum (deadman's ""Omae Wa Mou"" remix) [Shindeiru x1.4]",9.5268,3118,2.2867,1.0127,0.8556
3568145 | Gypsophila [cocoon st0 1.45x (219bpm)],9.5044,2569,3.1418,1.0139,1.1343
4404686 | Everlasting Eternity [Never-Ending Infinity],9.5022,9257,3.4188,1.0235,1.0166
4763048 | Fractured Heaven [Seraph],9.4886,5084,2.9652,1.0382,0.9754
1114574 | K.Y.A.F.A. [ETERNAL HAVOC +],9.4874,9746,2.8675,1.0102,1.0352
3362667 | crazy_tek (DJ Noriken Remix) [UHD 2021 ver. 0.95x],9.4760,4195,2.9625,1.0152,1.0029
3838922 | Last Wish [Wondrous Fantasy],9.4611,8459,3.3219,1.1105,0.9679
4347923 | Parallel Universe Shifter [262144],9.4535,10750,3.5782,1.0443,1.0236
2144223 | We Want To Run [Run],9.4438,4619,2.8852,0.9684,0.9843
4797714 | FAKE PROMISE [TRUTHFUL LIE 1.15x (219)],9.4352,11950,2.4495,0.9832,0.9610
2009161 | Koakuma x3 no Daidasso!? [Blocko's Mixed Devil],9.4213,3246,3.2575,1.0262,0.9834
4837429 | Sakazuki [aci's Against],9.4077,4130,2.3981,1.0402,0.8759
2089432 | Ragnarok [The Last Omen // 7K],9.4041,8303,3.0972,1.0185,0.9899
2672367 | Kim_GodSSI's LN Practice Pack 1 [Nagiha - Arcana Idola],9.4035,2027,3.3467,0.9959,1.0057
2513195 | Aurolla [AURORA],9.4005,3522,2.9938,1.0223,0.9570
3425576 | Levier'n NabYss [ABYSS],9.3970,3648,2.7526,1.0516,0.9457
774288 | Penguin (Pinnacle Remix) [7K],9.3739,2451,3.3222,1.0611,0.9950
4275213 | Speedcore Sonata [Incessant Rain],9.3709,4695,2.9167,1.0917,0.9936
2923828 | KLASSIKER EINHEIT [BMS LV.25 (1.2x) [Yasashiku]],9.3647,6876,2.4876,0.9951,0.9943
2477483 | PEACE BREAKER [Fallout. 1.2],9.3536,8114,2.9710,1.0292,1.0661
3413773 | saihate [Leeju's 7K Eternal Slumber 1.3x],9.3503,3381,3.0337,1.0070,1.0304
2465484 | Pengdoll's BOSS Map Collection [LiA - Hoshi Shoujo Stellar Union],9.3474,3136,3.0485,1.0631,1.0097
2769921 | Frontier Explorer [Voyager [1.1x Rate]],9.3410,4482,2.4942,0.9843,0.9537
2570281 | LN Dan Phase III [Azimuth Dan],9.3160,10980,3.5867,0.9943,1.0590
4009587 | Beyond The Aexis [Schadenfreude],9.3146,5704,3.4528,1.0276,1.0301
4129720 | Kick-ass Kung-fu Carnival [Kickaholic],9.3103,7829,2.9144,1.0280,0.9508
4675234 | ResolvE -means to an end- [Pursuit of Determination],9.3075,7777,3.2966,0.9949,0.9984
1679790 | Last Resort [Jakads' LASTING LEGACY],9.3014,3369,3.0632,1.0442,0.9504
2981103 | Nakano Yuko Map Collection [Camellia - Blackmagik Blazing],9.2996,7408,2.8926,1.0735,0.9612
4520604 | Campanella [NoName's 7K Ascension],9.2988,4065,2.6015,0.9874,0.9714
2989030 | Nakano Yuko Map Collection [Memme - Erebus],9.2928,3741,3.2349,0.9956,1.0543
1104267 | K.Y.A.F.A. [ETERNAL HAVOC],9.2832,9552,2.8958,1.0005,1.0168
